Species,Indiv,Pos,SL,CBL_raw,alpha_Pos_raw,d_raw,D_Pos_raw,alpha_Ant_raw,D_Ant_raw,CBL,alpha_Pos,d,D_Pos,alpha_Ant,D_Ant,Pt1x,Pt1y,Pt2x,Pt2y,Pt3x,Pt3y,Pt4x,Pt4y,Pt5x,Pt5y,Pt6x,Pt6y,Pt7x,Pt7y,Body Shape,Habitat_Initial ,Habitat_Friedman,Habitat_FishBase,Habitat,Water_Type,Max_BW_mm,BW_slide,Max_BH_mm,BH_slide,d_BW,D_Pos_BW,D_Ant_BW
Alectis_ciliaris,1,40,799,24.92,1.51,3.57,17.51,1.56,17.53,0.0312,86.3325,0.0045,0.0219,89.6240,0.0219,446.707,-446.887,443.072,-429.759,428.23,-450.517,425.92,-433.139,435.749,-440.213,435.412,-438.11,435.562,-441.677,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.039118657,0.191853718,0.192088048
Alectis_ciliaris,1,50,799,34.42,1.18,3.13,21.10,1.31,19.42,0.0431,67.8482,0.0039,0.0264,75.0211,0.0243,548.756,-424.623,546.701,-445.623,520.794,-421.77,518.512,-441.058,532.235,-432.732,532.664,-430.901,532.078,-433.971,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.034245742,0.231199014,0.212815303
Alectis_ciliaris,1,60,799,35.75,1.38,2.00,22.59,1.40,22.90,0.0447,79.2948,0.0025,0.0283,80.0589,0.0287,630.042,-428.933,629.892,-451.524,603.083,-428.632,602.33,-451.524,616.337,-440.379,616.307,-441.332,616.357,-439.329,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.021953986,0.247538183,0.250966486
Alectis_ciliaris,1,70,799,36.58,1.34,0.75,22.21,1.36,23.35,0.0458,76.5716,0.0009,0.0278,78.1443,0.0292,691.998,-429.331,692.721,-451.534,664.322,-428.918,663.496,-452.257,678.29,-440.64,678.326,-440.999,678.326,-440.244,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.00827264,0.243410305,0.255888773
Alectis_ciliaris,1,80,799,35.15,1.32,0.54,22.20,1.27,20.94,0.0440,75.6469,0.0007,0.0278,72.5533,0.0262,786.58,-425.564,788.659,-447.666,758.023,-427.971,760.212,-448.801,773.341,-437.272,773.252,-437.526,773.275,-436.986,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.00592222,0.243243708,0.229494031
Alectis_ciliaris,1,90,799,32.78,1.31,0.49,19.44,1.28,20.33,0.0410,74.7958,0.0006,0.0243,73.5438,0.0254,848.342,-423.484,850.489,-442.809,822.672,-424.85,823.746,-445.151,836.806,-434.79,836.787,-435.037,836.768,-434.544,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.00540588,0.21304951,0.222751946
Amia_calva,1,30,1438,11.82,2.34,3.68,33.40,2.50,32.27,0.0082,134.1132,0.0026,0.0232,143.1883,0.0224,1338.89,-155.833,1341.98,-122.572,1354.89,-124.677,1350.68,-156.675,1347.47,-139.908,1347.59,-141.687,1347.53,-138.007,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.017198226,0.15609159,0.150809181
Amia_calva,1,40,1438,31.82,2.20,5.89,28.63,2.38,29.08,0.0221,126.3160,0.0041,0.0199,136.4065,0.0202,1205.51,-113.444,1200.5,-141.631,1216.98,-114.956,1214.59,-143.936,1209.94,-129.761,1209.76,-132.564,1210.11,-126.686,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.027515425,0.133776847,0.135877766
Amia_calva,1,50,1438,15.62,2.07,7.06,28.20,2.22,28.57,0.0109,118.4181,0.0049,0.0196,127.2113,0.0199,1054.07,-137.609,1055.34,-109.437,1070.7,-109.691,1069.68,-138.243,1063.1,-123.877,1063.24,-127.15,1063.24,-120.09,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.032990038,0.131776095,0.133503176
Amia_calva,1,60,1438,32.09,2.05,7.57,27.47,2.12,28.09,0.0223,117.5419,0.0053,0.0191,121.3909,0.0195,911.872,-109.3,911.992,-136.768,927.585,-108.58,928.665,-136.648,920.259,-123.157,920.469,-126.722,919.945,-119.173,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.03535992,0.128353966,0.131253483
Amia_calva,1,70,1438,31.10,2.01,9.09,26.00,2.08,27.09,0.0216,114.9213,0.0063,0.0181,119.1965,0.0188,762.495,-113.149,761.946,-139.147,778.4,-112.711,778.51,-139.805,770.509,-126.515,770.679,-130.807,770.453,-121.715,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.04249831,0.121510794,0.126606154
Amia_calva,1,80,1438,24.33,2.47,10.11,22.45,2.47,23.84,0.0169,141.4651,0.0070,0.0156,141.7749,0.0166,624.746,-115.449,624.943,-137.894,633.249,-114.658,632.557,-138.488,628.768,-126.736,628.707,-131.551,628.828,-121.44,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.047250163,0.104885257,0.111399999
Amia_calva,1,90,1438,20.92,2.45,8.51,19.93,2.50,20.75,0.0145,140.4160,0.0059,0.0139,143.0377,0.0144,490.964,-111.291,489.285,-131.151,498.177,-110.896,496.201,-131.547,493.739,-120.88,493.807,-124.759,494.011,-116.252,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.039763021,0.093133056,0.096938944
Anoplogaster_cornuta,1,30,1242.177,45.22,1.11,1.49,24.92,1.34,26.09,0.0364,63.7490,0.0012,0.0201,76.5937,0.0210,403.809,45.5212,405.786,20.6832,367.973,42.9262,368.838,16.8524,384.811,31.7166,384.777,32.4928,384.912,31.0079,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006052266,0.101139627,0.105895259
Anoplogaster_cornuta,1,40,1242.177,48.94,1.00,1.55,23.32,1.11,25.01,0.0394,57.5141,0.0013,0.0188,63.6419,0.0201,527.903,59.5854,529.652,36.3264,486.456,54.1642,489.429,29.3312,507.966,44.0211,507.889,44.8108,507.986,43.2602,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006306396,0.094677935,0.101520268
Anoplogaster_cornuta,1,60,1242.177,44.09,0.93,1.65,21.46,1.30,25.03,0.0355,53.2013,0.0013,0.0173,74.7481,0.0201,774.69,74.4668,766.146,54.7783,739.585,90.6262,731.227,67.0371,750.447,72.3644,750.668,73.1733,750.19,71.5923,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006704387,0.087118969,0.101583965
Anoplogaster_cornuta,1,70,1242.177,44.28,1.10,1.01,23.47,1.19,24.54,0.0356,62.8999,0.0008,0.0189,68.0663,0.0198,887.474,32.5723,881.336,9.92111,852.693,43.971,844.802,20.7352,866.017,26.7128,866.116,27.2354,865.917,26.2401,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.004120017,0.095260127,0.099607718
Anoplogaster_cornuta,1,80,1242.177,43.08,1.05,0.84,21.97,1.18,23.31,0.0347,60.4094,0.0007,0.0177,67.4429,0.0188,1000.29,11.3158,997.185,-10.4337,964.296,16.5446,961.094,-6.54898,979.993,2.58729,980.017,2.14443,979.97,2.98353,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.003411358,0.089179243,0.094636696
Anoplogaster_cornuta,1,90,1242.177,35.73,1.15,0.90,19.92,1.20,19.81,0.0288,65.7786,0.0007,0.0160,68.6289,0.0160,1135.9,1.75363,1136.03,-18.1647,1106.62,2.67699,1105.56,-17.1094,1120.6,-7.34812,1120.63,-7.74522,1120.57,-6.84451,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.003664205,0.080852882,0.080430767
Aphareus_furca,1,40,1061.317,31.59,1.25,0.72,23.37,1.36,23.49,0.0298,71.6108,0.0007,0.0220,77.8479,0.0221,491.598,-150.312,488.465,-127.149,458.847,-130.946,460.271,-154.394,474.036,-141.294,474.041,-141.643,474.014,-140.923,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.003402706,0.110387129,0.110940991
Aphareus_furca,1,50,1061.317,42.84,1.04,0.71,22.73,1.24,22.46,0.0404,59.7830,0.0007,0.0214,70.7887,0.0212,585.442,-98.0346,594.618,-118.835,553.508,-113.696,562.562,-134.251,572.304,-117.18,572.392,-117.533,572.186,-116.857,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.003337462,0.107367158,0.106074277
Aphareus_furca,1,60,1061.317,44.57,1.04,0.62,23.31,1.13,22.61,0.0420,59.5795,0.0006,0.0220,64.5301,0.0213,693.97,-69.7596,683.319,-49.0253,659.46,-86.8015,649.519,-66.4932,670.483,-68.593,670.587,-68.8537,670.375,-68.2756,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.002907962,0.110085132,0.106783394
Aphareus_furca,1,70,1061.317,41.54,1.01,1.38,21.30,1.18,22.99,0.0391,57.8674,0.0013,0.0201,67.5775,0.0217,795.231,-17.5293,787.065,2.14681,764.295,-35.0762,753.796,-14.624,774.153,-16.6773,774.368,-17.2683,774.045,-15.925,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.00652477,0.10060853,0.10857208
Aphareus_furca,1,80,1061.317,35.52,1.17,1.08,23.67,1.18,24.08,0.0335,67.0493,0.0010,0.0223,67.6080,0.0227,934.097,35.2349,927.58,57.9871,892.937,47.8115,900.14,24.8307,913.925,40.8922,913.925,40.4234,913.925,41.5016,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.005091974,0.111771933,0.113736792
Aphareus_furca,1,90,1061.317,42.58,1.17,0.96,23.51,1.14,23.04,0.0401,66.7903,0.0009,0.0222,65.3988,0.0217,1004.38,71.3182,1007.3,47.9907,968.726,66.4141,972.039,43.6168,988.21,57.0036,988.241,56.5879,988.099,57.5416,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.004553654,0.111027623,0.10879488
Catostomus_catostomus,1,40,1306,30.78,1.45,2.63,22.31,1.76,22.12,0.0236,83.2017,0.0020,0.0171,100.9818,0.0169,573.692,270.71,577.197,248.679,551.76,266.905,556.367,245.274,563.057,257.604,563.11,256.312,562.989,258.944,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.011465884,0.09707898,0.096243844
Catostomus_catostomus,1,50,1306,31.05,1.51,2.71,21.66,1.56,21.73,0.0238,86.3902,0.0021,0.0166,89.1895,0.0166,690.039,287.406,693.453,266.017,667.545,283.992,671.361,262.602,680.337,275.014,680.461,273.68,680.275,276.379,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.011773211,0.094257653,0.09455346
Catostomus_catostomus,1,60,1306,31.32,1.55,2.83,21.64,1.55,21.78,0.0240,88.6017,0.0022,0.0166,88.8575,0.0167,835.339,301.79,836.622,280.189,812.95,299.817,814.824,278.118,824.975,289.653,825.076,288.376,824.825,291.197,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.012324764,0.094167658,0.094779964
Catostomus_catostomus,1,70,1306,32.48,1.55,3.37,22.08,1.55,23.20,0.0249,88.6664,0.0026,0.0169,88.8016,0.0178,957.44,312.168,959.163,290.155,934.565,311.02,935.905,287.857,947.072,299.901,947.296,298.377,947.19,301.743,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.014655227,0.096087907,0.100967948
Catostomus_catostomus,1,80,1306,31.03,1.57,3.38,21.59,1.58,21.89,0.0238,89.9291,0.0026,0.0165,90.3649,0.0168,1091.88,317.89,1091.03,296.319,1069.99,318.207,1069.57,296.319,1080.65,306.886,1080.61,305.299,1080.78,308.676,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.014714444,0.093944291,0.095268477
Catostomus_catostomus,1,90,1306,29.02,1.51,3.37,20.20,1.52,20.01,0.0222,86.5789,0.0026,0.0155,86.9028,0.0153,1211.62,310.36,1209.74,290.248,1190.48,312.615,1188.6,292.692,1199.99,301.126,1199.94,299.479,1200.11,302.847,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.014675328,0.087903795,0.08708492
Cephalopholis_argus,1,30,1316,43.27,1.68,0.34,36.29,1.17,23.31,0.0329,96.2427,0.0003,0.0276,66.7798,0.0177,1320.11,-120.927,1309.37,-155.588,1351.69,-135.28,1343.72,-157.183,1330.68,-141.544,1330.7,-141.367,1330.66,-141.7,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.001650203,0.178538157,0.114679834
Cephalopholis_argus,1,40,1316,53.76,0.96,1.19,27.63,1.36,30.16,0.0409,55.2401,0.0009,0.0210,78.0723,0.0229,1196.91,-103.572,1193.51,-130.989,1241.79,-108.727,1237.69,-138.605,1221.29,-121.334,1221.29,-121.891,1221.4,-120.71,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.0058359,0.13593028,0.148383218
Cephalopholis_argus,1,50,1316,53.93,0.97,2.40,23.20,0.99,27.63,0.0410,55.3963,0.0018,0.0176,56.6813,0.0210,1050.78,-100.694,1048.97,-123.819,1098.48,-101.871,1096.42,-129.423,1071.88,-114.212,1071.84,-115.339,1072.02,-112.943,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.011822006,0.114127484,0.135939577
Cephalopholis_argus,1,60,1316,51.41,1.04,3.76,25.03,1.11,28.11,0.0391,59.6184,0.0029,0.0190,63.8092,0.0214,923.743,-79.5098,918.427,-103.964,967.69,-87.0707,961.429,-114.479,942.556,-95.7063,942.284,-97.7011,942.874,-93.9835,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.018520235,0.12312955,0.138327925
Cephalopholis_argus,1,70,1316,49.55,1.12,3.20,25.75,1.18,27.81,0.0377,64.0797,0.0024,0.0196,67.5495,0.0211,796.851,-49.8268,790.876,-74.87,837.149,-58.8525,830.793,-85.9297,813.689,-67.8098,813.408,-69.3391,814.002,-66.194,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.015748074,0.126675897,0.136846299
Cephalopholis_argus,1,80,1316,46.33,1.08,3.23,23.46,1.03,23.48,0.0352,61.6503,0.0025,0.0178,58.8855,0.0178,667.933,-29.2877,664.293,-52.4655,707.736,-34.0203,704.824,-57.3195,685.627,-43.209,685.507,-44.6927,685.945,-41.4974,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.015868513,0.115437033,0.115528477
Cephalopholis_argus,1,90,1316,48.28,0.97,2.94,22.03,1.01,23.83,0.0367,55.5922,0.0022,0.0167,57.8929,0.0181,534.554,-17.656,532.755,-39.6105,576.904,-20.2953,574.984,-44.0494,554.471,-30.4233,554.405,-31.8555,554.605,-28.9246,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.014454134,0.108382455,0.117255952
Chaetostoma_lineopunctatum,1,50,861,26.08,0.88,0.60,14.10,1.33,13.17,0.0303,50.5195,0.0007,0.0164,76.2253,0.0153,497.001,-249.035,496.81,-263.133,474.139,-246.939,473.376,-260.085,482.059,-254.7,482.099,-254.977,482.034,-254.383,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.002016148,0.047571677,0.044429866
Chaetostoma_lineopunctatum,1,60,861,28.35,0.81,1.78,13.01,1.10,12.19,0.0329,46.2851,0.0021,0.0151,63.0618,0.0142,578.012,-250.218,578.364,-263.22,553.178,-251.272,552.943,-263.455,562.975,-256.968,563.267,-258.076,563.339,-256.294,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.006017457,0.043885431,0.041113659
Chaetostoma_lineopunctatum,1,70,861,26.94,0.89,2.66,11.70,0.92,11.87,0.0313,51.2030,0.0031,0.0136,52.7252,0.0138,657.669,-249.725,658.36,-261.406,633.993,-250.227,633.742,-262.097,645.816,-255.603,645.839,-256.889,645.884,-254.227,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.008982996,0.039481141,0.040058889
Chaetostoma_lineopunctatum,1,80,861,26.10,0.95,3.52,12.01,0.96,11.81,0.0303,54.2400,0.0041,0.0139,55.1456,0.0137,733.085,-245.365,734.032,-257.338,710.345,-247.26,710.862,-259.061,721.86,-252.133,721.968,-253.778,721.806,-250.265,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.011865623,0.040523628,0.039855319
Chaetostoma_lineopunctatum,1,90,861,25.33,0.87,2.34,11.80,1.01,10.80,0.0294,50.0949,0.0027,0.0137,58.0076,0.0125,826.612,-233.944,828.617,-245.577,804.757,-238.898,806.652,-249.534,815.298,-242.513,815.352,-243.647,815.234,-241.308,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.007901932,0.039829006,0.036451501
Centropomus_undecimalis,1,40,1501,50.14,1.17,0.55,29.19,1.39,30.89,0.0334,67.0049,0.0004,0.0194,79.8975,0.0206,638.784,-131.412,636.177,-160.485,599.085,-125.999,595.476,-156.676,615.51,-144.099,615.428,-144.347,615.552,-143.81,Fusiform,Reef associated,reef associated,reef associated,pelagic,marine,190.991,607,377.675,640,0.002885637,0.152832604,0.161727836
Centropomus_undecimalis,1,50,1501,55.44,0.99,0.65,28.15,1.11,27.95,0.0369,56.7368,0.0004,0.0188,63.6227,0.0186,791.772,-147.916,790.16,-176.015,743.634,-143.54,741.561,-171.409,765.005,-159.748,764.952,-160.12,765.059,-159.482,Fusiform,Reef associated,reef associated,reef associated,pelagic,marine,190.991,607,377.675,640,0.003387125,0.147364018,0.146320991
