"","Genus","Species","Body.Shape","Habitat_Friedman","Habitat","d_mean","CBL_mean","D_Pos_mean","alpha_Pos_mean","d_max","CBL_max","D_Pos_max","alpha_Pos_max","Family","MatchSpecies","Tip"
"Carangidae_Alectis_ciliaris_E00469","Alectis","ciliaris","Deep bodied","pelagic","demersal",0.00218333333333333,0.0416333333333333,0.0260833333333333,76.7483,0.0045,0.0458,0.0283,86.3325,"Carangidae","ciliaris",1032
"Clupeidae_Alosa_pseudoharengus_G01195","Alosa","pseudoharengus","","pelagic","pelagic",0.00315714285714286,0.0224571428571429,0.0161,93.0078,0.004,0.0242,0.0169,101.7966,"Clupeidae","pseudoharengus",59
"Amiidae_Amia_calva_E00461","Amia","calva","Fusiform","demersal","demersal",0.00515714285714286,0.0166428571428571,0.0184857142857143,127.5988,0.007,0.0223,0.0232,141.4651,"Amiidae","calva",18
"Anoplogastridae_Anoplogaster_cornuta_E00662","Anoplogaster","cornuta","Tadpole shaped","pelagic","pelagic",0.001,0.0350666666666667,0.0181333333333333,60.59205,0.0013,0.0394,0.0201,65.7786,"Anoplogastridae","cornuta",648
"Lutjanidae_Aphareus_furca_E00563","Aphareus","furca","Fusiform","pelagic","pelagic",0.000866666666666667,0.0374833333333333,0.0216666666666667,63.78005,0.0013,0.042,0.0223,71.6108,"Lutjanidae","furca",1577
"Aulorhynchidae_Aulorhynchus_flavidus_G01217","Aulorhynchus","flavidus","","pelagic","pelagic",0.00164142933333333,0.0156436119444444,0.00598152,45.4589529555556,0.002047669,0.01917963,0.007035091,62.47883882,"Aulorhynchidae","flavidus",1265
"Cyprinidae_Barbichthys_laevis_I2665-102","Barbichthys","laevis","","","benthic",0.00141666666666667,0.0290666666666667,0.0171,69.99385,0.0018,0.0319,0.0181,72.3994,"Cyprinidae","laevis",120
"Centropomidae_Centropomus_undecimalis_E00194","Centropomus","undecimalis","Fusiform","reef associated","pelagic",0.000316666666666667,0.0336166666666667,0.0173833333333333,58.5630833333333,4e-04,0.0369,0.0194,67.0049,"Centropomidae","undecimalis",924
"Serranidae_Cephalopholis_argus_E00868","Cephalopholis","argus","Fusiform","benthic","benthic",0.00185714285714286,0.0376428571428571,0.0199,63.9742428571429,0.0029,0.041,0.0276,96.2427,"Serranidae","argus",1189
"Chanidae_Chanos_chanos_E00345","Chanos","chanos","Fusiform","benthopelagic","demersal",0.0023,0.0238428571428571,0.0155714285714286,79.5895285714286,0.0031,0.0279,0.0172,87.9935,"Chanidae","chanos",74
"Exocoetidae_Cheilopogon_melanurus_N14975","Cheilopogon","melanurus","","pelagic","pelagic",0.000128571428571429,0.0224,0.0127571428571429,71.3855428571429,3e-04,0.0233,0.0142,85.6817,"Exocoetidae","melanurus",717
"Chiasmodontidae_Chiasmodon_niger_E01115","Chiasmodon","niger","","pelagic","pelagic",0.00172857142857143,0.0356428571428571,0.0184857142857143,63.1024285714286,0.004,0.0387,0.0206,87.6667,"Chiasmodontidae","niger",1904
"Coryphaenidae_Coryphaena_hippurus_E00937","Coryphaena","hippurus","","pelagic","pelagic",0.00177142857142857,0.0253571428571429,0.0165857142857143,62.4581857142857,0.0023,0.0307,0.0211,72.6433,"Coryphaenidae","hippurus",1046
"Acanthuridae_Ctenochaetus_strigosus_E00050","Ctenochaetus","strigosus","","demersal","demersal",0.00221666666666667,0.0424666666666667,0.0214166666666667,59.6084333333333,0.0034,0.0468,0.0232,63.0501,"Acanthuridae","strigosus",1603
"Cyprinidae_Cyprinus_carpio_I2598-58","Cyprinus","carpio","Fusiform","benthopelagic","demersal",0.0012,0.03575,0.0161333333333333,52.1842666666667,0.0014,0.0385,0.0166,63.0857,"Cyprinidae","carpio",127
"Serranidae_Diplectrum_formosum_E01002","Diplectrum","formosum","","demersal","demersal",0.00108333333333333,0.0390333333333333,0.0200166666666667,60.32455,0.0016,0.0414,0.0223,68.6061,"Serranidae","formosum",1170
