Species,Habitat_Friedman,Habitat_FishBase,Habitat
Alectis_ciliaris,pelagic ,pelagic ,demersal
Amia_calva,demersal,demersal,demersal
Anoplogaster_cornuta,pelagic ,pelagic ,pelagic
Aphareus_furca,pelagic ,pelagic ,pelagic
Catostomus_catostomus,demersal,demersal,demersal
Cephalopholis_argus,benthic,benthic,benthic
Chaetostoma_lineopunctatum,demersal,demersal,demersal
Centropomus_undecimalis,reef associated,reef associated,pelagic
Osteoglossum_bicirrhosum,benthopelagic,benthopelagic,demersal
Chanos_chanos,benthopelagic,benthopelagic,demersal
Cyprinus_carpio,benthopelagic,benthopelagic,demersal
Roeboides_affinis,benthopelagic,benthopelagic,demersal
Lepidogalaxias_salamandroides,demersal,demersal,demersal
Stenobrachius_leucopsarus,pelagic ,pelagic ,pelagic
Percopsis_omiscomaycus,demersal,demersal,demersal
Microgadus_proximus,demersal,demersal,demersal
Polymixia_lowei,demersal,demersal,demersal
Myripristis_jacobus,demersal,reef associated,demersal
Opsanus_pardus,benthic,reef associated,benthic
Nealotus_tripes,pelagic ,pelagic ,pelagic
Nectamia_fusca,demersal,reef associated,demersal
Fundulus_heteroclitus,benthopelagic,benthopelagic,demersal
Menidia_beryllina,pelagic ,pelagic ,demersal
Hypsypops_rubicundus,demersal,reef associated,demersal
Salarias_fasciatus,benthic,reef associated,benthic
Labroides_dimidiatus,demersal,reef associated,demersal
Hemitaurichthys_polylepis,pelagic ,benthopelagic,pelagic
Lagodon_rhomboides,demersal,demersal,demersal
Halieutichthys_aculeatus,benthic,reef associated,benthic
Stephanolepis_hispidus,demersal,reef associated,demersal
Malacocottus_zonurus,benthic,bathydemersal,benthic
Mirorictus_taningi,bathydemersal,bathydemersal,pelagic
Ctenochaetus_strigosus,demersal,reef associated,demersal
Ophidion_scrippsae,demersal,demersal,demersal
Malacosteus_niger,pelagic ,bathypelagic,pelagic
Serrasalmus_rhombeus,benthopelagic,benthopelagic,demersal
Oncorhyncus_gorbuscha,demersal,demersal,demersal
Coryphaenoides_filifer,bathydemersal,bathydemersal,benthic
Pimelodella_cristata,demersal,demersal,demersal
Polypterus_senegalus,demersal,demersal,demersal
Anodontostoma_chacunda,pelagic ,pelagic ,pelagic
Apteronotus_cuchillejo,benthopelagic,benthopelagic,demersal
Hypomesus_pretiosus,demersal,benthopelagic,demersal
Nannaethiops_unitaeniatus,pelagic ,pelagic ,demersal
Risor_ruber,benthic,reef associated,benthic
Remora_remora,benthic,reef associated,benthic
Parophrys_vetulus,benthic,demersal,benthic
Symphysodon_discus,benthopelagic,benthopelagic,demersal
Cheilopogon_melanurus,pelagic ,pelagic ,pelagic
Mugil_cephalus,benthopelagic,benthopelagic,pelagic
Equetus_lanceolatus,reef associated,reef associated,demersal
Novumbra_hubbsi,demersal,demersal,demersal
Elops_saurus,pelagic ,reef associated,pelagic
Chiasmodon_niger,pelagic ,pelagic ,pelagic
Diplectrum_formosum,demersal,reef associated,demersal
Gadopsis_marmoratus,benthopelagic,benthopelagic,demersal
Phalacronotus_bleekeri,demersal,demersal,demersal
Abramis_brama,benthopelagic,benthopelagic,pelagic
Hirundichthys_rondeletii,pelagic ,pelagic ,pelagic
Coryphaena_hippurus,pelagic ,pelagic ,pelagic
Alosa_pseudoharengus,pelagic ,pelagic ,pelagic
Engraulis_mordax,pelagic ,pelagic ,pelagic
Trachurus_trachurus,pelagic ,pelagic ,pelagic
Poecilia_reticulata,benthopelagic,benthopelagic,demersal
Sphyraena_sphyraena,pelagic ,pelagic ,pelagic
Scomber_japonicus,pelagic ,pelagic ,pelagic
Xiphophorus_hellerii,benthopelagic,benthopelagic,demersal
Anoplarchus_insignis,benthic,demersal,benthic
Ammodytes_personatus ,demersal,demersal,benthic
Apodichthys_flavidus,demersal,demersal,benthic
Anoplarchus_purpurescens,demersal,demersal,benthic
Aulorhynchus_flavidus,pelagic ,benthopelagic,pelagic
Lepomis_macrochirus,benthopelagic,benthopelagic,demersal
Lumpenus_sagitta,benthic,benthopelagic,benthic
Myoxocephalus_polyacanthocephalus,benthic,demersal,benthic
Ophiodon_elongatus,benthic,demersal,benthic
Phytichthys_chirus,demersal,demersal,benthic
Pholis_laeta,demersal,demersal,demersal
Pholis_ornata,benthic,demersal,benthic
Ronquilus_jordani,benthic,demersal,benthic
Xiphister_atropurpureus,demersal,demersal,benthic
Xiphister_mucosus,benthic,demersal,benthic
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
