Species,MatchSpecies,Family,Indiv,Pos,SL,CBL_raw,alpha_Pos_raw,d_raw,D_Pos_raw,alpha_Ant_raw,D_Ant_raw,CBL,alpha_Pos,d,D_Pos,alpha_Ant,D_Ant,Pt1x,Pt1y,Pt2x,Pt2y,Pt3x,Pt3y,Pt4x,Pt4y,Pt5x,Pt5y,Pt6x,Pt6y,Pt7x,Pt7y,Body Shape,Habitat_Initial,Habitat_Friedman,Habitat_FishBase,Habitat,Water_Type,Max_BW_mm,BW_slide,Max_BH_mm,BH_slide,d_BW,D_Pos_BW,D_Ant_BW,SL/Max_BW,d_normCBL,Scan Media Number,DOI,ARK,URL,Website,Scan Source,Match species reference
Alectis_ciliaris,NA,NA,1,40,799,24.92,1.51,3.57,17.51,1.56,17.53,0.0312,86.3325,0.0045,0.0219,89.624,0.0219,446.707,-446.887,443.072,-429.759,428.23,-450.517,425.92,-433.139,435.749,-440.213,435.412,-438.11,435.562,-441.677,Deep bodied,Reef associated,pelagic,pelagic,pelagic,marine,91.2647,433,747.83,477,0.039118657,0.191853718,0.192088048,8.754754029,0.143252959,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Alectis_ciliaris,NA,NA,1,50,799,34.42,1.18,3.13,21.1,1.31,19.42,0.0431,67.8482,0.0039,0.0264,75.0211,0.0243,548.756,-424.623,546.701,-445.623,520.794,-421.77,518.512,-441.058,532.235,-432.732,532.664,-430.901,532.078,-433.971,Deep bodied,Reef associated,pelagic,pelagic,pelagic,marine,91.2647,433,747.83,477,0.034245742,0.231199014,0.212815303,8.754754029,0.090799881,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Alectis_ciliaris,NA,NA,1,60,799,35.75,1.38,2,22.59,1.4,22.9,0.0447,79.2948,0.0025,0.0283,80.0589,0.0287,630.042,-428.933,629.892,-451.524,603.083,-428.632,602.33,-451.524,616.337,-440.379,616.307,-441.332,616.357,-439.329,Deep bodied,Reef associated,pelagic,pelagic,pelagic,marine,91.2647,433,747.83,477,0.021953986,0.247538183,0.250966486,8.754754029,0.056040039,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Alectis_ciliaris,NA,NA,1,70,799,36.58,1.34,0.75,22.21,1.36,23.35,0.0458,76.5716,9.00E-04,0.0278,78.1443,0.0292,691.998,-429.331,692.721,-451.534,664.322,-428.918,663.496,-452.257,678.29,-440.64,678.326,-440.999,678.326,-440.244,Deep bodied,Reef associated,pelagic,pelagic,pelagic,marine,91.2647,433,747.83,477,0.00827264,0.243410305,0.255888773,8.754754029,0.020640704,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Alectis_ciliaris,NA,NA,1,80,799,35.15,1.32,0.54,22.2,1.27,20.94,0.044,75.6469,7.00E-04,0.0278,72.5533,0.0262,786.58,-425.564,788.659,-447.666,758.023,-427.971,760.212,-448.801,773.341,-437.272,773.252,-437.526,773.275,-436.986,Deep bodied,Reef associated,pelagic,pelagic,pelagic,marine,91.2647,433,747.83,477,0.00592222,0.243243708,0.229494031,8.754754029,0.015378483,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Alectis_ciliaris,NA,NA,1,90,799,32.78,1.31,0.49,19.44,1.28,20.33,0.041,74.7958,6.00E-04,0.0243,73.5438,0.0254,848.342,-423.484,850.489,-442.809,822.672,-424.85,823.746,-445.151,836.806,-434.79,836.787,-435.037,836.768,-434.544,Deep bodied,Reef associated,pelagic,pelagic,pelagic,marine,91.2647,433,747.83,477,0.00540588,0.21304951,0.222751946,8.754754029,0.015051568,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Amia_calva,NA,NA,1,30,1438,11.82,2.34,3.68,33.4,2.5,32.27,0.0082,134.1132,0.0026,0.0232,143.1883,0.0224,1338.89,-155.833,1341.98,-122.572,1354.89,-124.677,1350.68,-156.675,1347.47,-139.908,1347.59,-141.687,1347.53,-138.007,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.017198226,0.15609159,0.150809181,6.71950057,0.311377356,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA
Amia_calva,NA,NA,1,40,1438,31.82,2.2,5.89,28.63,2.38,29.08,0.0221,126.316,0.0041,0.0199,136.4065,0.0202,1205.51,-113.444,1200.5,-141.631,1216.98,-114.956,1214.59,-143.936,1209.94,-129.761,1209.76,-132.564,1210.11,-126.686,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.027515425,0.133776847,0.135877766,6.71950057,0.185081552,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA
Amia_calva,NA,NA,1,50,1438,15.62,2.07,7.06,28.2,2.22,28.57,0.0109,118.4181,0.0049,0.0196,127.2113,0.0199,1054.07,-137.609,1055.34,-109.437,1070.7,-109.691,1069.68,-138.243,1063.1,-123.877,1063.24,-127.15,1063.24,-120.09,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.032990038,0.131776095,0.133503176,6.71950057,0.451901613,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA
Amia_calva,NA,NA,1,60,1438,32.09,2.05,7.57,27.47,2.12,28.09,0.0223,117.5419,0.0053,0.0191,121.3909,0.0195,911.872,-109.3,911.992,-136.768,927.585,-108.58,928.665,-136.648,920.259,-123.157,920.469,-126.722,919.945,-119.173,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.03535992,0.128353966,0.131253483,6.71950057,0.235793514,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA
