Species,MatchGenus,MatchSpecies,Family,Indiv,Pos,SL,CBL_old_raw,alpha_Pos_raw,d_raw,D_Pos_raw,alpha_Ant_raw,D_Ant_raw,CBL_old,alphaPos,d,DPos,alphaAnt,DAnt,Pt1x,Pt1y,Pt2x,Pt2y,Pt3x,Pt3y,Pt4x,Pt4y,Pt5x,Pt5y,Pt6x,Pt6y,Pt7x,Pt7y,BodyShape,Habitat_Initial,Habitat_Friedman,Habitat_FishBase,Habitat,Water_Type,Max_BW_mm,BW_slide,Max_BH_mm,BH_slide,dBW,DPosBW,DAntBW,fineness,d_normCBL,Scan Media Number,DOI,ARK,URL,Website,Scan Source,Match species reference,CBL_raw,CBL,d_normD,Iratio,d_ctr,CBL_ctr,alphaAnt_ctr,alphaPos_ctr,DAnt_ctr,DPos_ctr,dBW_ctr,DAntBW_ctr,DPosBW_ctr,d_normD_ctr,d_normCBL_ctr,Iratio_ctr
Alectis_ciliaris,Alectis,ciliaris,NA,1,0.4,799,24.92,1.51,3.57,17.51,1.56,17.53,0.0312,86.3325,0.0045,0.0219,89.624,0.0219,446.707,-446.887,443.072,-429.759,428.23,-450.517,425.92,-433.139,435.749,-440.213,435.412,-438.11,435.562,-441.677,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.039118657,0.191853718,0.192088048,8.754754029,0.20182996996828445,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA,17.81449999999998,0.022295994993742154,0.2054794520547945,0.9982173191642398,0.0029999999999999996,0.001135160538829623,11.572699999999998,17.9525,0.0063,0.006200000000000001,0.028196161,0.07248104200000001,0.067429972,0.1054794520547945,0.1271337409888334,-0.0016826808357601752
Alectis_ciliaris,Alectis,ciliaris,NA,1,0.5,799,34.42,1.18,3.13,21.1,1.31,19.42,0.0431,67.8482,0.0039,0.0264,75.0211,0.0243,548.756,-424.623,546.701,-445.623,520.794,-421.77,518.512,-441.058,532.235,-432.732,532.664,-430.901,532.078,-433.971,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.034245742,0.231199014,0.212815303,8.754754029,0.110990009082652,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA,28.075500000000034,0.03513829787234047,0.15384615384615385,0.9994397955253668,0.0023,0.013440122276642867,0.04455000000000098,2.8983500000000078,0.008649999999999998,0.01065,0.022513175500000003,0.0957526035,0.11343404700000001,0.045895520867712175,0.03632799319417465,-4.243916058125352e-4
Alectis_ciliaris,Alectis,ciliaris,NA,1,0.6,799,35.75,1.38,2,22.59,1.4,22.9,0.0447,79.2948,0.0025,0.0283,80.0589,0.0287,630.042,-428.933,629.892,-451.524,603.083,-428.632,602.33,-451.524,616.337,-440.379,616.307,-441.332,616.357,-439.329,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.021953986,0.247538183,0.250966486,8.754754029,0.0732745180756038,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA,27.260500000000036,0.03411827284105136,0.08771929824561404,0.9999407919722629,7.000000000000001e-4,0.012180288344927324,7.625099999999989,12.49199999999999,0.0126,0.012399999999999998,0.009629222000000002,0.13852863099999999,0.129234979,-0.03253386631134797,0.0013174988735343424,1.499073910472548e-4
Alectis_ciliaris,Alectis,ciliaris,NA,1,0.7,799,36.58,1.34,0.75,22.21,1.36,23.35,0.0458,76.5716,9e-4,0.0278,78.1443,0.0292,691.998,-429.331,692.721,-451.534,664.322,-428.918,663.496,-452.257,678.29,-440.64,678.326,-440.999,678.326,-440.244,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.00827264,0.243410305,0.255888773,8.754754029,0.025275478462592895,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA,28.450500000000034,0.035607634543179015,0.031578947368421054,0.9999990055324929,-7.999999999999999e-4,0.013935074430024855,5.838899999999995,11.5274,0.012900000000000002,0.011899999999999997,-0.004263474,0.14243649400000002,0.127727238,-0.08635717056769687,-0.05208841838554466,1.9246380820536757e-4
Alectis_ciliaris,Alectis,ciliaris,NA,1,0.8,799,35.15,1.32,0.54,22.2,1.27,20.94,0.044,75.6469,7e-4,0.0278,72.5533,0.0262,786.58,-425.564,788.659,-447.666,758.023,-427.971,760.212,-448.801,773.341,-437.272,773.252,-437.526,773.275,-436.986,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.00592222,0.243243708,0.229494031,8.754754029,0.01962318433794119,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA,28.50200000000001,0.03567209011264081,0.025925925925925925,0.9999995482094908,-7e-4,0.014477026418373264,1.5285999999999973,7.889099999999999,0.0104,0.012799999999999999,-0.005943403000000001,0.11832965399999999,0.132758342,-0.08601437258153677,-0.052030049395103806,1.565649084624976e-4
Alectis_ciliaris,Alectis,ciliaris,NA,1,0.9,799,32.78,1.31,0.49,19.44,1.28,20.33,0.041,74.7958,6e-4,0.0243,73.5438,0.0254,848.342,-423.484,850.489,-442.809,822.672,-424.85,823.746,-445.151,836.806,-434.79,836.787,-435.037,836.768,-434.544,Deep bodied,Reef associated,pelagic,pelagic,demersal,marine,91.2647,433,747.83,477,0.00540588,0.21304951,0.222751946,8.754754029,0.01829317154141148,M40474-73078,NA,ark:/87602/m4/M73078,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40474,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA,26.206500000000005,0.03279912390488111,0.024144869215291753,0.9999996601404881,-6e-4,0.012674007191529071,5.375200000000007,5.048699999999997,0.0104,0.009399999999999999,-0.002829419999999999,0.11967464800000001,0.106131107,-0.07262932433309534,-0.04779670221156826,8.736794572483664e-5
Amia_calva,Amia,calva,NA,1,0.3,1438,11.82,2.34,3.68,33.4,2.5,32.27,0.0082,134.1132,0.0026,0.0232,143.1883,0.0224,1338.89,-155.833,1341.98,-122.572,1354.89,-124.677,1350.68,-156.675,1347.47,-139.908,1347.59,-141.687,1347.53,-138.007,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.017198226,0.15609159,0.150809181,6.71950057,0.3027368421052626,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA,12.350000000000023,0.0085883171070932,0.11403508771929824,0.9998308959519803,0.0010999999999999998,-0.01016321038781506,60.774100000000004,60.952600000000004,0.0077,0.0076999999999999985,0.004777056,0.024308839999999998,0.026827482000000014,0.026122999807210334,0.22277834721148315,-1.0937379166564565e-4
Amia_calva,Amia,calva,NA,1,0.4,1438,31.82,2.2,5.89,28.63,2.38,29.08,0.0221,126.316,0.0041,0.0199,136.4065,0.0202,1205.51,-113.444,1200.5,-141.631,1216.98,-114.956,1214.59,-143.936,1209.94,-129.761,1209.76,-132.564,1210.11,-126.686,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.027515425,0.133776847,0.135877766,6.71950057,0.4613302034428805,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA,12.779999999999973,0.008887343532684265,0.20448877805486287,0.9982514505494624,0.0026000000000000003,-0.012273490922228266,58.355199999999996,57.93600000000001,0.0046,0.004200000000000002,0.016592929,0.01627076000000001,0.009353101000000003,0.10448877805486287,0.38663397446342945,-0.0016485494505376064
Amia_calva,Amia,calva,NA,1,0.5,1438,15.62,2.07,7.06,28.2,2.22,28.57,0.0109,118.4181,0.0049,0.0196,127.2113,0.0199,1054.07,-137.609,1055.34,-109.437,1070.7,-109.691,1069.68,-138.243,1063.1,-123.877,1063.24,-127.15,1063.24,-120.09,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.032990038,0.131776095,0.133503176,6.71950057,0.45503390377784575,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA,15.485000000000127,0.010768428372740006,0.2481012658227848,0.9962110757715754,0.0033,-0.010929747222957597,52.23474999999999,53.46825,0.00425,0.0038499999999999993,0.0212574715,0.016440476499999995,0.014011128000000012,0.14015063284434312,0.3803718878893684,-0.003653111359603889
Amia_calva,Amia,calva,NA,1,0.6,1438,32.09,2.05,7.57,27.47,2.12,28.09,0.0223,117.5419,0.0053,0.0191,121.3909,0.0195,911.872,-109.3,911.992,-136.768,927.585,-108.58,928.665,-136.648,920.259,-123.157,920.469,-126.722,919.945,-119.173,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.03535992,0.128353966,0.131253483,6.71950057,0.4706601617983067,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA,16.19300000000004,0.01126077885952715,0.2746113989637306,0.9943131176670983,0.0035,-0.010677205636596885,48.9571,50.73909999999999,0.0034000000000000002,0.003199999999999998,0.023035156,0.018815628,0.010050762000000019,0.1543582344067686,0.3987031425962373,-0.005477766914117388
