Species,Habitat,Water_Type,MatchSpecies,MatchGenus,fineness,CBL_med,CBL_max,CBL_mn,d_med,d_max,d_mn,alphaAnt_med,alphaAnt_max,alphaAnt_mn,alphaPos_med,alphaPos_max,alphaPos_mn,DAnt_med,DAnt_max,DAnt_mn,DPos_med,DPos_max,DPos_mn,dBW_med,dBW_max,dBW_mn,DAntBW_med,DAntBW_max,DAntBW_mn,DPosBW_med,DPosBW_max,DPosBW_mn,d_normCBL_med,d_normCBL_max,d_normCBL_mn,d_normD_med,d_normD_max,d_normD_mn,Iratio_med,Iratio_max,Iratio_mn,d_80,CBL_80,alphaPos_80,alphaAnt_80,DPos_80,DAnt_80,dBW_80,DAntBW_80,DPosBW_80,d_normCBL_80,d_normD_80,Iratio_80,d_slope,CBL_slope,alphaPos_slope,alphaAnt_slope,DPos_slope,DAnt_slope,dBW_slope,DAntBW_slope,DPosBW_slope,d_normCBL_slope,d_normD_slope,Iratio_slope,d_quad,CBL_quad,alphaPos_quad,alphaAnt_quad,DPos_quad,DAnt_quad,dBW_quad,DAntBW_quad,DPosBW_quad,d_normCBL_quad,d_normD_quad,Iratio_quad,d_order,CBL_order,alphaPos_order,alphaAnt_order,DPos_order,DAnt_order,dBW_order,DAntBW_order,DPosBW_order,d_normCBL_order,d_normD_order,Iratio_order
Abramis_brama,pelagic,freshwater,alburnus,Alburnus,8.952156735,0.01664552238805979,0.01772611940298506,0.01628768656716421,8.500000000000001e-4,0.0018,0.001,88.71505,93.9381,88.28855,84.15735000000001,86.8924,83.27525,0.0155,0.016,0.01535,0.01515,0.016,0.01496666666666666,0.00768282099999999,0.016033714,0.0088630805,0.1386248155,0.142833665,0.1372664035,0.1354180725,0.142833665,0.13381470116666666,0.05489329948567451,0.1107794056859406,0.06147973638977967,0.05791964904179174,0.11688311688311688,0.06570471817323693,0.9999881450040472,0.9999968569915824,0.9999595096327012,0.0012142857142857129,0.01660037313432842,84.13329999999999,85.43882857142856,0.015178571428571427,0.015300000000000001,0.010670054714285709,0.13677330321428577,0.135694845,0.07284180513287855,0.07867212313816438,0.9999369527486726,0.00921428571428569,-0.028093017057569537,-64.27657142857112,107.00671428571471,-0.014035714285714226,-0.02771428571428561,0.08560857714285694,-0.24914291392857119,-0.12158899071428551,0.562448333653053,0.5918370461593605,-2.919042786790916e-4,-0.0061904761904761725,0.022506218905472972,55.95309523809501,-98.53357142857175,0.011309523809523768,0.020476190476190405,-0.058535778571428415,0.18403776547619033,0.09798380238095228,-0.38476991043023967,-0.4000567331520094,1.2516513967443773e-4,2,2,2,2,2,2,2,2,2,2,2,2
Alectis_ciliaris,demersal,marine,ciliaris,Alectis,8.754754029,0.03462828535669592,0.03567209011264081,0.03260523571130581,0.0017,0.0045,0.00218333333333333,76.5827,89.624,78.15756666666667,76.10925,86.3325,76.7483,0.0258,0.0292,0.02595,0.0271,0.0283,0.02608333333333333,0.015113313,0.039118657,0.0191531875,0.2261229885,0.255888773,0.22733409783333333,0.237221361,0.247538183,0.22838240633333337,0.04927499826909835,0.20182996996828445,0.07488105524474764,0.05964912280701755,0.2054794520547945,0.08811577444270019,0.999969898752378,0.999999660140488,0.9995993534240568,7.807142857142891e-4,0.03587215716073662,74.70164571428577,73.89042142857147,0.027322857142857135,0.027508571428571407,0.006968365021428627,0.24096899139999978,0.23922130067142844,0.014892684417265434,0.02455836063401451,1.0001523376217722,-0.025717857142857306,0.18822673431074638,-100.36917142857065,-107.93282142857122,0.11498571428571433,0.11262857142857166,-0.2192271646785728,0.9777035602857168,0.9998470007857133,-1.6909082987940587,-1.5249202485223943,0.021877851139868367,0.013035714285714414,-0.13256861255140423,69.07285714285658,63.30678571428556,-0.08500000000000008,-0.08142857142857166,0.10990753392857253,-0.706304285714288,-0.7387866678571426,1.028218799955538,0.8770652573610968,-0.014488637911142278,2,2,2,2,2,2,2,2,2,2,2,2
Alosa_pseudoharengus,pelagic,anadromous,pseudoharengus,Alosa,7.389719098,0.01654534398888117,0.01734954829742881,0.01602756543896227,0.00334999999999999,0.004,0.00331666666666666,86.9591,101.3525,89.14675,91.08,95.8023,91.543,0.01625,0.0166,0.01596666666666666,0.01615,0.0169,0.01621666666666666,0.0249576335,0.029579418,0.0246067205,0.1200893545,0.122631336,0.118112258,0.119344734,0.124942228,0.119883942,0.20429978503757296,0.23621627167333537,0.2058090038137335,0.20589735355786848,0.2416918429003021,0.2055240128820318,0.9982014215661464,0.9995274878822282,0.998008894256528,0.0034642857142857127,0.016414375062047088,91.61827857142862,85.46269285714286,0.01619285714285714,0.015871428571428568,0.025672909642857143,0.11746667542857138,0.1197555592142857,0.211649168608066,0.21606514314051112,0.9978384140824995,0.017392857142857106,0.04694207286806272,-125.25889285714251,-84.04632142857092,0.015464285714285734,0.023642857142857198,0.12777765535714267,0.1768015778571428,0.11026256250000004,0.5326974372239199,0.8527128604610722,-0.025562223526335456,-0.013214285714285685,-0.03572917700784233,98.59273809523786,50.778928571428196,-0.012500000000000015,-0.01952380952380956,-0.09714305357142843,-0.1455006071428571,-0.08901213690476195,-0.39748837529537334,-0.6304898345591534,0.0196675572897831,2,2,2,2,2,2,2,2,2,2,2,2
Amia_calva,demersal,freshwater,calva,Amia,6.71950057,0.00982788595271213,0.0112896383866481,0.00878714649976821,0.0056,0.007,0.00558333333333333,131.8089,143.0377,131.50296666666668,122.36705,141.4651,126.51306666666667,0.01915,0.0202,0.01823333333333333,0.0186,0.0199,0.0177,0.0375614705,0.047250163,0.03756281283333333,0.12892981850000002,0.135877766,0.122596587,0.12493238,0.133776847,0.1189060025,0.5143469893348926,1.2491158404169451,0.7325227475971174,0.30803740679893843,0.4347826086956522,0.3200680994855377,0.990359097901786,0.9982514505494624,0.9848700053806272,0.006378571428571427,0.0075392906815020914,130.86378571428574,133.3344571428571,0.015771428571428575,0.01652142857142857,0.042987309928571436,0.11109386707142854,0.10586650907142856,0.9834996424234044,0.3951153791733031,0.9750109127291814,0.023678571428571403,0.05634859924498325,-272.9039285714273,-293.9649285714276,-0.007857142857142903,0.002892857142857226,0.1603807460714283,0.01747925750000024,-0.05296817107142825,-2.1476301616048845,0.8254864710132501,0.0501282043190298,-0.014642857142857124,-0.0520382144512883,241.0240476190467,245.64642857142786,-0.004761904761904727,-0.01202380952380958,-0.0989267726190474,-0.0792872583333335,-0.032325358333333554,3.0912538068587496,-0.25256969633211507,-0.0917583483203058,2,2,2,2,2,2,2,2,2,2,2,2
Ammodytes_personatus,benthic,marine,dubius,Ammodytes,16.87886312,0.01320041079812204,0.01408372456964008,0.01325120631194573,0.0023,0.0043,0.0026,67.78435,75.1987,65.97771666666667,64.75215,68.91,64.36175,0.0084,0.0092,0.00825,0.00879999999999999,0.0096,0.00888333333333333,0.0382658625,0.072181605,0.04366949,0.1416123915,0.15592577,0.139037789,0.1480174735,0.162727828,0.1497674365,0.17744760561022505,0.3331908508026024,0.19738393561382797,0.2730186685452624,0.4673913043478261,0.30326668427480924,0.9944412667955465,0.9984350671624882,0.9866489642786496,0.0026714285714285707,0.013183322155153129,65.4624857142857,60.03528571428571,0.00875714285714286,0.007621428571428569,0.0449277022142857,0.12825062121428568,0.14747745292857142,0.20299245229613513,0.3252318319438878,0.9852301270015756,0.0032142857142857017,-0.0034195450480667246,2.057785714286038,-3.024714285714605,-0.005571428571428597,0.0031785714285714464,0.037076421071428466,0.044474061785715086,-0.08698427035714247,0.3073625634044485,0.31670407416933316,-0.14920902435590505,-0.0026190476190476085,0.0026645987033315434,1.8928571428569092,-31.782380952380706,0.0033333333333333557,-0.005833333333333346,-0.030239465476190375,-0.09196441547619107,0.0498001464285712,-0.2517272050819549,-0.17597698594891173,0.11592812655539554,2,2,2,2,2,2,2,2,2,2,2,2
Anodontostoma_chacunda,pelagic,freshwater,cepedianum,Dorosoma,4.663323152,0.02280188679245284,0.02377830188679247,0.02272248427672957,7.999999999999999e-4,0.0016,9.666666666666668e-4,84.57849999999999,91.6076,84.81811666666667,85.1935,88.8691,85.5487,0.02099999999999999,0.0226,0.02103333333333333,0.0223,0.0226,0.02168333333333333,0.003905881,0.007229049,0.0044943665,0.097984864,0.105425005,0.09813437883333331,0.103873364,0.105388955,0.10111189433333334,0.03496708169042403,0.06894108765715276,0.0423738722459939,0.03774163679639171,0.07095343680709534,0.04501973071204513,0.9999974450932222,0.9999994155248296,0.9999911997226196,8.363095238095227e-4,0.023183408740854825,84.48233154761903,81.68560892857143,0.02157738095238095,0.020825595238095237,0.003942162220238089,0.09714213654166666,0.10068669163095235,0.035727554829139245,0.03896301773341456,0.9999944534141297,0.004720238095238093,0.037383038120908846,45.29363690476209,-0.039410714285529835,0.02627380952380955,0.024291666666666704,0.01985100077380952,0.11300606684523802,0.12081792488095236,0.12208161397338435,0.16631711357332676,-1.230313378992993e-4,-0.0045833333333333325,-0.027303940444102292,-41.799702380952525,-16.83017857142871,-0.02154761904761907,-0.020297619047619078,-0.01935440297619048,-0.09445450892857138,-0.09882913452380952,-0.13878478660119706,-0.1708050729499129,1.1676464515211944e-4,2,2,2,2,2,2,2,2,2,2,2,2
Anoplarchus_insignis,benthic,marine,NA,NA,8.615949257,0.01948014842300559,0.02121929499072361,0.01945504019789735,0.00145,0.0023,0.00161666666666666,78.2501,91.0208,80.06316666666666,64.99770000000001,71.0656,65.77066666666667,0.01335,0.0152,0.01353333333333333,0.0146,0.0169,0.01478333333333333,0.01285113,0.019529196,0.01399441366666666,0.1150102935,0.13053613,0.11651364216666668,0.1258479165,0.145379981,0.1273099175,0.07548085608437763,0.11879869289814347,0.083346863194708,0.10137387799963364,0.16974169741697415,0.11525654478927076,0.9998932569119025,0.9999773781566308,0.9997156002201651,0.0016220238095238089,0.01886505543775953,64.04252202380954,76.87776071428569,0.01378273809523809,0.012513095238095233,0.014015102720238082,0.10767650621428572,0.11874144422619043,0.0854342453657402,0.12196511510436728,0.9996952664220821,0.007220238095238097,0.02909516079158944,-30.61442261904764,-178.38610714285645,0.002863095238095218,-0.0039047619047618432,0.06092252184523813,-0.03323337607142853,0.024377865476190683,0.26002403590273515,0.49840040948100833,-0.003610903370686905,-0.005773809523809527,-0.026414546338015772,14.983035714285739,128.19416666666612,-0.007440476190476174,-0.00214285714285719,-0.04871027321428576,-0.019087886904761927,-0.06353727857142873,-0.19830036743065452,-0.36697071970911277,0.002862584920969245,2,2,2,2,2,2,2,2,2,2,2,2
Anoplarchus_purpurescens,benthic,marine,NA,NA,9.510297574,0.01558469850121991,0.01761049146043921,0.01558635413035899,0.00105,0.0012,0.001,77.16069999999999,77.5942,76.29316666666666,63.3035,64.7255,62.0632,0.0104,0.0114,0.01015,0.0113,0.0123,0.01105,0.009882921,0.011337533,0.00939429033333333,0.098595104,0.108381695,0.09650706533333334,0.107096343,0.116845459,0.10483988383333331,0.06826957430903483,0.07390203065298585,0.06419833649808195,0.10075592568866112,0.10434782608695652,0.09432363956507676,0.9998966728922752,0.9999739691795084,0.9999133096259496,9.565476190476185e-4,0.01464994024797089,59.70223035714285,76.39212261904763,0.010222619047619048,0.009108333333333331,0.00887473735119048,0.08666249126785713,0.09690467926190473,0.0650954044218755,0.09754605623819981,0.9999108443943405,0.006386904761904749,0.007645521087486931,-57.356624999999596,-27.203202380952543,-0.003273809523809534,-0.006559523809523776,0.06165528315476179,-0.0625000969642854,-0.029596088809523274,0.3658996848183934,0.5004067702228497,-3.6233793043731195e-4,-0.005535714285714276,-0.0110279838669522,33.32148809523778,21.70130952380966,-0.0017857142857142776,-3.571428571428832e-4,-0.05389136249999991,-0.002909923214285949,-0.018574923809524226,-0.29953872974674456,-0.3979625745026512,3.270630016578915e-4,2,2,2,2,2,2,2,2,2,2,2,2
Anoplogaster_cornuta,pelagic,marine,cornuta,Anoplogaster,5.042162219,0.02870565144902862,0.03287373699561338,0.02856629932771257,8e-4,0.0013,9.6e-4,68.0663,74.7481,68.50562,60.4094,65.7786,59.96066,0.0198,0.0201,0.01896,0.0177,0.0189,0.01774,0.004120017,0.006704387,0.0048412726,0.099607718,0.101583965,0.0955558828,0.089179243,0.095260127,0.0894178312,0.02910540251046014,0.04612218953501656,0.03335337499753194,0.04375,0.0695187165775401,0.05196131929684826,0.999996336364746,0.9999978355842531,0.9999895873600796,8.07142857142857e-4,0.02716259438067201,61.32491000000001,68.57907714285717,0.017200714285714288,0.018185,0.00412187257857143,0.09155253342142858,0.08675359934285717,0.029734224981100614,0.04557399797443084,0.9999937371979891,0.0013214285714285676,0.025788394085544345,-102.29995000000015,-24.6169714285721,-0.0025321428571428886,0.01788928571428564,0.007072119678571413,0.0921042488928567,-0.013510414000000446,0.023396230019387176,0.06394467140082424,-8.277511122662594e-5,-0.0020238095238095197,-0.02908536115760152,90.64116666666672,15.063047619048104,-0.002178571428571404,-0.020440476190476127,-0.010315290833333319,-0.10517375678571393,-0.009957931428571112,-0.042680054578604944,-0.08922163392442227,9.082657193118554e-5,2,2,2,2,2,2,2,2,2,2,2,2
Aphareus_furca,pelagic,marine,furca,Aphareus,5.012241139,0.03121475487531058,0.03340896263793003,0.03116921397345624,7.999999999999999e-4,0.0013,8.666666666666666e-4,67.59275,77.8479,68.9585,63.28665,71.6108,63.78005,0.0217,0.0227,0.02178333333333333,0.022,0.0223,0.02166666666666666,0.00397817999999999,0.00652477,0.004303088,0.10868348,0.113736792,0.10915040233333334,0.1102361305,0.111771933,0.10854125083333334,0.02565947802914457,0.04297833813565918,0.02785059108533555,0.03693306383479312,0.06220095693779903,0.03999519777731871,0.9999980035702514,0.999999410106788,0.999995921812818,9.935714285714279e-4,0.03239085427418413,62.472405714285756,65.42432000000002,0.021637857142857153,0.02187071428571429,0.005006241171428568,0.10954466475714289,0.10830106837857145,0.030959151656235927,0.045817368282272744,0.9999939933378943,0.0037607142857143078,0.01168275561670722,-222.57819999999978,-134.3334857142861,-0.0201464285714288,-0.006367857142857301,0.01898883328571439,-0.036487497928571616,-0.10285285075000089,0.11950279764165227,0.20298974226682287,-1.2068385358211857e-4,-0.0023214285714285897,-0.0028182639386453152,170.33142857142852,88.22571428571459,0.015892857142857316,0.005535714285714396,-0.011390292857142943,0.03115426785714298,0.08064289464285782,-0.07867358801069442,-0.13075906638089935,8.588019352254063e-5,2,2,2,2,2,2,2,2,2,2,2,2
