"","Species","CBL_mean","d_mean","Species.1","mean.d.","Species.2","mean.alpha_Pos.","Species.3","mean.D_Pos.","Species.4","mean.alpha_Ant.","Species.5","mean.D_Ant."
"1","Alectis ciliaris",0.0416333333333333,0.00218333333333333,"Alectis ciliaris",0.00218333333333333,"Alectis ciliaris",76.7483,"Alectis ciliaris",0.0260833333333333,"Alectis ciliaris",78.1575666666667,"Alectis ciliaris",0.02595
"2","Amia calva",0.0166428571428571,0.00515714285714286,"Amia calva",0.00515714285714286,"Amia calva",127.5988,"Amia calva",0.0184857142857143,"Amia calva",133.1723,"Amia calva",0.0188285714285714
"3","Ammodytes personatus ",0.015928408375,0.00415508254166667,"Ammodytes personatus ",0.00415508254166667,"Ammodytes personatus ",66.64252416125,"Ammodytes personatus ",0.0088316695,"Ammodytes personatus ",NA,"Ammodytes personatus ",NA
"4","Anodontostoma chacunda",0.030775,0.0009625,"Anodontostoma chacunda",0.0009625,"Anodontostoma chacunda",85.0718375,"Anodontostoma chacunda",0.02115,"Anodontostoma chacunda",86.4920625,"Anodontostoma chacunda",0.0205375
"5","Anoplarchus insignis",0.0168728802916667,0.00219869083333333,"Anoplarchus insignis",0.00219869083333333,"Anoplarchus insignis",64.39697662875,"Anoplarchus insignis",0.0106849477083333,"Anoplarchus insignis",NA,"Anoplarchus insignis",NA
"6","Anoplarchus purpurescens",0.0156125,0.0018125,"Anoplarchus purpurescens",0.0018125,"Anoplarchus purpurescens",60.8315625,"Anoplarchus purpurescens",0.0110708333333333,"Anoplarchus purpurescens",NA,"Anoplarchus purpurescens",NA
"7","Anoplogaster cornuta",0.0350666666666667,0.001,"Anoplogaster cornuta",0.001,"Anoplogaster cornuta",60.59205,"Anoplogaster cornuta",0.0181333333333333,"Anoplogaster cornuta",69.8536333333333,"Anoplogaster cornuta",0.0193
"8","Aphareus furca",0.0374833333333333,0.000866666666666667,"Aphareus furca",0.000866666666666667,"Aphareus furca",63.78005,"Aphareus furca",0.0216666666666667,"Aphareus furca",68.9585,"Aphareus furca",0.0217833333333333
"9","Apodichthys flavidus",0.00977916666666667,0.00135,"Apodichthys flavidus",0.00135,"Apodichthys flavidus",67.5277916666667,"Apodichthys flavidus",0.00838333333333333,"Apodichthys flavidus",NA,"Apodichthys flavidus",NA
"10","Apteronotus cuchillejo",0.0239,0.0014375,"Apteronotus cuchillejo",0.0014375,"Apteronotus cuchillejo",53.780825,"Apteronotus cuchillejo",0.011325,"Apteronotus cuchillejo",60.591425,"Apteronotus cuchillejo",0.0114625
"11","Aulorhynchus flavidus",0.0156436119444444,0.00164142933333333,"Aulorhynchus flavidus",0.00164142933333333,"Aulorhynchus flavidus",45.4589529555556,"Aulorhynchus flavidus",0.00598152,"Aulorhynchus flavidus",NA,"Aulorhynchus flavidus",NA
"12","Catostomus catostomus",0.0237166666666667,0.00235,"Catostomus catostomus",0.00235,"Catostomus catostomus",87.228,"Catostomus catostomus",0.0165333333333333,"Catostomus catostomus",90.8496833333333,"Catostomus catostomus",0.0166833333333333
"13","Centropomus undecimalis",0.0336166666666667,0.000316666666666667,"Centropomus undecimalis",0.000316666666666667,"Centropomus undecimalis",58.5630833333333,"Centropomus undecimalis",0.0173833333333333,"Centropomus undecimalis",63.509,"Centropomus undecimalis",0.01755
"14","Cephalopholis argus",0.0376428571428571,0.00185714285714286,"Cephalopholis argus",0.00185714285714286,"Cephalopholis argus",63.9742428571429,"Cephalopholis argus",0.0199,"Cephalopholis argus",64.2386428571428,"Cephalopholis argus",0.02
