"","Species","Indiv","SL","CBL","d","alpha_Pos","alpha_Ant","D_Pos","D_Ant","BodyShapeI","DepthRangeShallow","DepthRangeDeep","DepthRangeComShallow","DepthRangeComDeep","Length","CommonLength","Weight","DemersPelag","newdepthrangeshallow","newdepthrangedeep"
"1","Alectis ciliaris",1,799,0.0416333333333333,0.00218333333333333,76.7483,78.1575666666667,0.0260833333333333,0.02595,"short and / or deep",60,100,NA,NA,150,100,22900,"reef-associated",60,100
"2","Amia calva",1,1438,0.0166428571428571,0.00515714285714286,127.5988,133.1723,0.0184857142857143,0.0188285714285714,"elongated",NA,NA,NA,NA,109,53.35,9750,"demersal",NA,NA
"3","Ammodytes personatus ",1,2642,0.01454935925,0.00406067075,68.72598493,NA,0.008493307125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
"4","Ammodytes personatus ",2,2251,0.0168234255,0.00407924725,64.00422531875,NA,0.0090868995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
"5","Ammodytes personatus ",3,2100,0.016412440375,0.004325329625,67.197362235,NA,0.008914801875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
"6","Anodontostoma chacunda",1,742,0.030775,0.0009625,85.0718375,86.4920625,0.02115,0.0205375,"fusiform / normal",0,50,NA,NA,22,14,NA,"pelagic-neritic",1,1750
"7","Anoplarchus insignis",1,3230,0.0159125,0.0018625,65.2460875,NA,0.0117875,NA,"elongated",1,30,NA,NA,12,NA,NA,"demersal",NA,NA
"8","Anoplarchus insignis",2,3803,0.0157125,0.0018625,66.9445625,NA,0.010175,NA,"elongated",1,30,NA,NA,12,NA,NA,"demersal",NA,NA
"9","Anoplarchus insignis",3,2887,0.018993640875,0.0028710725,61.00027988625,NA,0.010092343125,NA,"elongated",1,30,NA,NA,12,NA,NA,"demersal",NA,NA
"10","Anoplarchus purpurescens",1,3102,0.0158625,0.001875,61.4225,NA,0.011275,NA,"elongated",1,30,NA,NA,20,NA,NA,"demersal",10,60
"11","Anoplarchus purpurescens",2,4037,0.015425,0.002225,60.1123125,NA,0.0109375,NA,"elongated",1,30,NA,NA,20,NA,NA,"demersal",10,60
"12","Anoplarchus purpurescens",3,3858,0.01555,0.0013375,60.959875,NA,0.011,NA,"elongated",1,30,NA,NA,20,NA,NA,"demersal",10,60
"13","Anoplogaster cornuta",1,1242.177,0.0350666666666667,0.001,60.59205,69.8536333333333,0.0181333333333333,0.0193,"short and / or deep",2,4992,500,2000,18,NA,NA,"bathypelagic",500,2000
"14","Aphareus furca",1,1061.317,0.0374833333333333,0.000866666666666667,63.78005,68.9585,0.0216666666666667,0.0217833333333333,"fusiform / normal",1,122,NA,NA,70,25,906,"reef-associated",2,4992
"15","Apodichthys flavidus",1,4322,0.010025,0.001625,70.475325,NA,0.008975,NA,"eel-like",0,8,NA,NA,46,NA,NA,"demersal",0,120
"16","Apodichthys flavidus",2,4411,0.009925,0.0011625,62.0732125,NA,0.00835,NA,"eel-like",0,8,NA,NA,46,NA,NA,"demersal",0,120
"17","Apodichthys flavidus",3,3757,0.0093875,0.0012625,70.0348375,NA,0.007825,NA,"eel-like",0,8,NA,NA,46,NA,NA,"demersal",0,120
